'y-axis saved as y
'x,CLR_4N_051D_XRD_20190814.raw,Diff,Ycalc
49.1396264,929,-24.3454396,953.34544
49.1702314,918,-33.6001769,951.600177
49.2008364,999,49.1534595,949.84654
49.2314415,980,31.914689,948.085311
49.2620465,949,2.68271412,946.317286
49.2926515,955,10.4567211,944.543279
49.3232566,945,2.23588088,942.764119
49.3538616,899,-41.9806502,940.98065
49.3844666,924,-15.1937294,939.193729
49.4150717,931,-6.40422705,937.404227
49.4456767,927,-8.61302511,935.613025
49.4762817,892,-41.8210167,933.821017
49.5068868,1011,78.9708952,932.029105
49.5374918,936,5.76179843,930.238202
49.5680969,1000,71.5507729,928.449227
49.5987019,956,29.3368916,926.663108
49.6293069,976,51.1192216,924.880778
49.659912,901,-22.1031749,923.103175
49.690517,955,33.6687609,921.331239
49.721122,925,5.43408487,919.565915
49.7517271,913,-4.80814811,917.808148
49.7823321,917,0.941116483,916.058884
49.8129371,936,21.6809343,914.319066
49.8435422,893,-19.5896369,912.589637
49.8741472,900,-10.8715356,910.871536
49.9047522,929,19.8343045,909.165696
49.9353573,945,37.5269555,907.473044
49.9659623,901,-4.79450258,905.794503
49.9965674,865,-39.1309814,904.130981
50.0271724,898,-4.48338239,902.483382
50.0577774,890,-10.8525955,900.852595
50.0883825,890,-9.23949786,899.239498
50.1189875,897,-0.644952436,897.644952
50.1495925,920,23.9301935,896.069807
50.1801976,901,6.48510955,894.51489
50.2108026,884,-8.98101604,892.981016
50.2414076,914,22.5310248,891.468975
50.2720127,879,-10.9795387,889.979539
50.3026177,867,-21.5134543,888.513454
50.3332227,928,40.9285542,887.071446
50.3638278,905,19.345789,885.654211
50.3944328,875,-9.26242094,884.262421
50.4250378,826,-56.8967178,882.896718
50.4556429,926,44.442286,881.557714
50.4862479,862,-18.2459902,880.24599
50.516853,885,6.03790582,878.962094
50.547458,911,33.2934605,877.70654
50.578063,921,44.5201961,876.479804
50.6086681,882,6.71767229,875.282328
50.6392731,897,22.8854873,874.114513
50.6698781,885,12.0232793,872.976721
50.7004832,922,50.1307281,871.869272
50.7310882,916,45.2075561,870.792444
50.7616932,881,11.2535299,869.74647
50.7922983,845,-23.7315383,868.731538
50.8229033,924,56.2522104,867.74779
50.8535083,901,34.204683,866.795317
50.8841134,896,30.1258355,865.874164
50.9147184,876,11.0156749,864.984325
50.9453234,881,16.8742596,864.12574
50.9759285,890,26.701701,863.298299
51.0065335,886,23.4981644,862.501836
51.0371386,865,3.26387016,861.73613
51.0677436,837,-24.0009053,861.000905
51.0983486,854,-6.29582839,860.295828
51.1289537,850,-9.62050764,859.620508
51.1595587,893,34.0255074,858.974493
51.1901637,834,-24.3572733,858.357273
51.2207688,896,38.2317211,857.768279
51.2513738,868,10.7931223,857.206878
51.2819788,897,40.3276239,856.672376
51.3125839,834,-22.1640179,856.164018
51.3431889,866,10.3190159,855.680984
51.3737939,844,-11.2223923,855.222392
51.404399,845,-9.78729612,854.787296
51.435004,866,11.6253145,854.374685
51.4656091,879,25.0165141,853.983486
51.4962141,881,27.3874416,853.612558
51.5268191,846,-7.26069989,853.2607
51.5574242,873,20.0733572,852.926643
51.5880292,805,-47.6090554,852.609055
51.6186342,873,20.6934577,852.306542
51.6492393,851,-1.01764426,852.017644
51.6798443,834,-17.7408394,851.740839
51.7104493,790,-61.4745431,851.474543
51.7410544,874,22.7828907,851.217109
51.7716594,894,43.0331689,850.966831
51.8022644,869,18.2780585,850.721941
51.8328695,824,-26.4806149,850.480615
51.8634745,839,-11.2409681,850.240968
51.8940795,838,-12.0010617,850.001062
51.9246846,830,-19.7589018,849.758902
51.9552896,840,-9.51244131,849.512441
51.9858947,785,-64.2595822,849.259582
52.0164997,859,10.0018228,848.998177
52.0471047,859,10.273968,848.726032
52.0777098,887,38.5590924,848.440908
52.1083148,841,-7.14052296,848.140523
52.1389198,772,-75.8225573,847.822557
52.1695249,856,8.51534666,847.484653
52.2001299,832,-15.1244202,847.12442
52.2307349,875,28.2605634,846.739437
52.26134,855,8.67274562,846.327254
52.291945,814,-31.8854022,845.885402
52.32255,872,26.5886105,845.411389
52.3531551,848,3.09728996,844.90271
52.3837601,827,-17.3568471,844.356847
52.4143651,829,-14.7712775,843.771277
52.4449702,803,-40.1434762,843.143476
52.4755752,791,-51.470922,842.470922
52.5061803,769,-72.7511021,841.751102
52.5367853,833,-7.9815184,840.981518
52.5673903,798,-42.1596926,840.159693
52.5979954,821,-18.2831726,839.283173
52.6286004,815,-23.3495392,838.349539
52.6592054,820,-17.3564119,837.356412
52.6898105,805,-31.3014569,836.301457
52.7204155,815,-20.1823934,835.182393
52.7510205,793,-40.9970017,833.997002
52.7816256,808,-24.7431309,832.743131
52.8122306,818,-13.4187071,831.418707
52.8428356,788,-42.0217418,830.021742
52.8734407,834,5.44965891,828.550341
52.9040457,826,-1.00271433,827.002714
52.9346508,776,-49.3771842,825.377184
52.9652558,810,-13.6721962,823.672196
52.9958608,796,-25.8863292,821.886329
53.0264659,851,30.9816938,820.018306
53.0570709,809,-9.0670048,818.067005
53.0876759,800,-16.0314693,816.031469
53.118281,800,-13.9109223,813.910922
53.148886,792,-19.7047767,811.704777
53.179491,833,23.5873514,809.412649
53.2100961,801,-6.03437061,807.034371
53.2407011,788,-16.570005,804.570005
53.2713061,800,-2.01985775,802.019858
53.3019112,870,70.6155066,799.384493
53.3325162,815,18.3352506,796.664749
53.3631212,785,-8.86175192,793.861752
53.3937263,790,-0.976931509,790.976932
53.4243313,832,43.9879605,788.01204
53.4549364,840,55.0308349,784.969165
53.4855414,796,14.1492476,781.850752
53.5161464,791,12.3403813,778.659619
53.5467515,851,75.6010275,775.398973
53.5773565,790,17.9275668,772.072433
53.6079615,784,15.31595,768.68405
53.6385666,787,21.7616776,765.238322
53.6691716,804,42.2597793,761.740221
53.6997766,773,14.8047924,758.195208
53.7303817,789,34.3907401,754.60926
53.7609867,809,55.8792968,753.120703
53.7915917,741,-8.72072267,749.720723
53.8221968,809,62.6530961,746.346904
